Version,College Name,Location,Date,No of Participants Attended,No of Sessions,Session Duration,Usage
online,Virtual Labs Workshop,"Sigma Polytechnic, Vadodara",2016-01-20,20,1,03:00,200
online,Virtual Labs Workshop,"Sigma Polytechnic, Vadodara",2016-01-21,9,1,03:00,90
online,Virtual Labs Workshop,"Sigma Polytechnic, Vadodara",2016-01-22,11,1,03:00,110
online,Virtual Labs Workshop,"Sigma Polytechnic, Vadodara",2016-01-23,11,1,03:00,110
online,Virtual Labs Workshop,"PVG College of Engineering and Technology, Nashik",2016-01-25,70,1,03:00,610
online,Virtual Labs Workshop,"Shri Ramdeobaba College of Engineering and Management, Nagpur",2016-01-27,104,1,01:00,1836
online,Virtual Labs Workshop,"PVG College of Engineering and Technology, Nashik",2016-01-30,70,1,03:00,610
online,Virtual Labs Workshop,"Prof Ram Meghe College of Engineering, Badnera, Nagpur",2016-01-30,411,2,03:00,4110
online,Virtual Labs Workshop,"PVG College of Engineering and Technology, Pune",2016-02-01,337,1,01:00,2072
online,Virtual Labs Workshop,"Bharati Vidyapeeth University COE, Pune",2016-02-10,288,2,01:00,2530
online,Virtual Labs Workshop,"Viva institute of Technology, Mumbai",2016-02-10,55,1,03:00,550
online,Virtual Labs Workshop,"PVG College of Engineering and Technology, Nashik",2016-02-13,265,1,03:00,2886
online,Virtual Labs Workshop,"Guru Nanak Khalsa College of Arts, Science and Commerce, Mumbai",2016-02-18,114,1,03:00,580
online,Virtual Labs Workshop,PES University,2016-10-06,19,1,03:00,102
online,Virtual Labs Workshop,"Allamuri Ratnamala College, Mumbai",2016-02-18,50,1,03:00,274
online,Virtual Labs Workshop,"Sigma Polytechnic, Vadodara",2016-02-22,13,1,03:00,130
online,Virtual Labs Workshop,"Bharti Vidyapeeth University COE, Pune",2016-02-23,21,1,03:00,77
online,Virtual Labs Workshop,"Priyadarshini College of Engineering, Nagpur",2016-02-23,60,1,03:00,60
online,Virtual Labs Workshop,"Sigma Institute Of Engineering, Vadodara",2016-02-23,91,1,03:00,182
online,Virtual Labs Workshop,Sigma Polytechnic,2016-02-23,20,1,03:00,100
online,Virtual Labs Workshop,"Sigma Polytechnic, Vadodara",2016-02-24,22,1,03:00,220
online,Virtual Labs Workshop,"Priyadarshini Institute of Engineering and Technology, Nagpur",2016-02-25,60,1,03:00,102
online,Virtual Labs Workshop,Sigma Polytechnic,2016-10-13,20,1,03:00,100
online,Virtual Labs Workshop,"Vishwakarma Institute Of Information Technology, Pune",2016-02-26,68,1,03:00,534
online,Virtual Labs Workshop,"Priyadarshini Institute of Engineering and Technology, Nagpur",2016-02-27,9,1,03:00,13
